Emotion,clean_text
anger,time part work sent actually sort volunteered run errand someone authority send address far especially foot turned incorrect whole trip waste
sadness,sorry going meet friends tomorrow evening hurry
joy,nice place
fear,travelling home bus suddenly bus hit bus leaned wall
sadness,leap mind really feel terrible
joy,ok begin register
anger,furious betrayal supporters sacked prime minister nawaz sharif resorted fisticuffs
sadness,felt sad first boyfriend left neither fault mine
sadness,tell another day
sadness,please accept deep apology
joy,weather beijing beautiful
fear,saw large spider crawling wall
joy,well children usually resemble parents
neutral,favor take taxi make feel lot better
anger,stand stupid guy longer unbelievable
anger,old woman violently thrown stairs tube group louts
fear,one night bike home alone party found pursued man car
neutral,shivering
joy,heard close relative mine given birth young age remote area problems
fear,one day went cinema see film interested arriving saw long queue expected went back home without seeing film
fear,man yelling outside window yelling threats though
sadness,back office mccready threw chair deep dejection
fear,walking road suddenly dogs appeared fence started barking angrily jumping seemed would come time
sadness,one day nobody could rouse trailer lee marvin entered quietly found sombre lonely sad man
joy,landlords pleased find apartment blocks overnight become property tenants
joy,boy admitted medicine school uncle coming back fron canada next week father told happy moment
fear,telling parents well exam
anger,chinese president said miffed administration refused request state visit white house complete star spangled welcoming ceremonies black tie dinner
fear,received phone call high school friend whose younger sister studied university gave lift every morning going get married guy knew died fell building afraid lose somebody since already lost brother accident
fear,answering better check pulse breathing
joy,selected come
joy,felt joy passed malawi school certificate education
sadness,felt sad son died short illness
joy,yeah way
sadness,finding good looking
joy,father promoted professor
fear,tells us sacrificed others tells us time worry future xa xa luke
fear,almost caught girls hostel security men would expelled school caught
joy,come glad expecting
sadness,things like really destructive writers often brave illness pain resilient deepest grief
fear,fearful realised relish overcooked simply keen enough checking whether still enough water relish instead playing friends
fear,get
fear,ahaha talk much dominate mrfranklin ready octaviusjrum michielthomas capricorn jamizzi quiet
neutral,something need
neutral,coffee shop round corner see big building end road
fear,fuck ignore feelings
joy,ha yes brilliant
sadness,get job wanted
sadness,frustrated
neutral,okay sign
sadness,child years old died stupid way fell place metre high
sadness,anguished princess says morton told one friend price public life price longer willing pay
joy,always happy wearing trousers jacket covers bum
anger,playing ball game make goal thrown feet failed score goal
neutral,sounds hard
fear,brandonw oi xmas hold surely rec rec usingcorrectpunctuationfordramatic effect
fear,saw good male friend unexpectedly year returned overseas feeling tired looking mess nervous
fear,last night dreamt things looked like monsters trying kiss
sadness,several years ago brother died accident heard sad took years resigned
fear,chucktaylor jonnyquest going see friend band play tonight midland hypakritz tequila tokillya
